system_number,oxford_part_id,call_numbers,library_code,,,,titles_non_placeholder
990001983090205171,,T-S A45.1,CUL,,,,
990001991390205171,,T-S NS 32.39,CUL,,,,
990002009520205171,,G 5,Mosseri,,,,
990002011040205171,,"A 2 | Moss. Ia,2",Mosseri,,,,
990002011830205171,,"Moss. II,13",Mosseri,,,,"פירוש על התורה [רס""ג]"
990002012150205171,,"Moss. II,30",Mosseri,,,,
990002012570205171,,"Moss. II,47.1",Mosseri,,,,
990002012600205171,,"Moss. II,47.2",Mosseri,,,,
990002012720205171,,"Moss. II,51.1",Mosseri,,,,
990002012740205171,,"Moss. II,51.2",Mosseri,,,,
990002012760205171,,"Moss. II,52.1",Mosseri,,,,משנה [טקסט]
990002012990205171,,"Moss. II,64",Mosseri,,,,
990002013140205171,,"Moss. II,73",Mosseri,,,,
990002013590205171,,"Moss. II,88.3",Mosseri,,,,משנה [טקסט]
990002013620205171,,"Moss. II,90",Mosseri,,,,
990002013720205171,,"Moss. II,95.1",Mosseri,,,,
990002013730205171,,"Moss. II,95.2",Mosseri,,,,לקח טוב
990002013870205171,,"Moss. II,101.2",Mosseri,,,,
990002013890205171,,"Moss. II,102.2",Mosseri,,,,
990002014070205171,,"Moss. II,110.1",Mosseri,,,,
990002014100205171,,"Moss. II,110.2",Mosseri,,,,
990002014240205171,,"Moss. II,113",Mosseri,,,,
990002014290205171,,"Moss. II,117.1",Mosseri,,,,
